Ano,Física[18],Química[19],Fisiologiaou Medicina[20],Literatura[21],Paz[22],Economia (Prêmio Sveriges Riksbank)[23]
1958,Pavel Cherenkov;Illia Frank;Igor Tamm,Frederick Sanger,George Wells Beadle;Edward Lawrie Tatum;Joshua Lederberg,Boris Pasternak[C],Dominique Pire,—
1959,Emilio G. Segrè;Owen Chamberlain,Jaroslav Heyrovský,Arthur Kornberg;Severo Ochoa,Salvatore Quasimodo,Philip Noel-Baker,—
1960,Donald A. Glaser,Willard Libby,Frank Macfarlane Burnet;Peter Medawar,Saint-John Perse,Albert Lutuli,—
1961,Robert Hofstadter;Rudolf Mössbauer,Melvin Calvin,Georg von Békésy,Ivo Andrić,Dag Hammarskjöld,—
1962,Lev Landau,Max Perutz;John Kendrew,Francis Crick;James D. Watson;Maurice Wilkins,John Steinbeck,Linus Pauling,—
1963,Eugene Wigner;Maria Goeppert-Mayer;J. Hans D. Jensen,Karl Ziegler;Giulio Natta,John Eccles;Alan Lloyd Hodgkin;Andrew Huxley,Giorgos Seferis,Comité Internacional da Cruz Vermelha;Liga das sociedades de Cruz Vermelha,—
1964,Charles Hard Townes;Nicolay Basov;Aleksandr Prokhorov,Dorothy Crowfoot Hodgkin,Konrad Emil Bloch;Feodor Felix Konrad Lynen,Jean-Paul Sartre[D],"Martin Luther King, Jr.",—
1965,Sin-Itiro Tomonaga;Julian Schwinger;Richard Feynman,Robert Burns Woodward,François Jacob;André Michel Lwoff;Jacques Monod,Mikhail Sholokhov,United Nations International Children's Emergency Fund (UNICEF),—
1966,Alfred Kastler,Robert S. Mulliken,Francis Peyton Rous;Charles Brenton Huggins,Shmuel Yosef Agnon;Nelly Sachs,Não foi atribuído,—
1967,Hans Bethe,Manfred Eigen;Ronald George Wreyford Norrish;George Porter,Ragnar Granit;Haldan Keffer Hartline;George Wald,Miguel Ángel Asturias,Não foi atribuído,—
1968,Luis Walter Alvarez,Lars Onsager,Robert W. Holley;Har Gobind Khorana;Marshall Warren Nirenberg,Yasunari Kawabata,René Cassin,—
1969,Murray Gell-Mann,Derek Barton;Odd Hassel,Max Delbrück;Alfred Hershey;Salvador Luria,Samuel Beckett,International Labour Organization,Ragnar Frisch;Jan Tinbergen
1970,Hannes Alfvén;Louis Néel,Luis Federico Leloir,Julius Axelrod;Ulf von Euler;Bernard Katz,Aleksandr Solzhenitsyn,Norman Borlaug,Paul Samuelson
